name,type,default,nullable,api_show,api_create,api_edit,api_view,api_validator,api_default,api_transform,doc,Ecf/Campaign_table_label,Ecf/Campaign_table_name,Ecf/Campaign_table_show,Ecf/Campaign_table_search,Ecf/Campaign_table_sort,Ecf/Campaign_table_datatype,Ecf/Campaign_form_label,Ecf/Campaign_form_name,Ecf/Campaign_form_create,Ecf/Campaign_form_edit,Ecf/Campaign_form_type,Ecf/Campaign_form_model,Ecf/Campaign_form_default,Ecf/Campaign_form_validator,Ecf/Campaign_form_param,Ecf/Campaign_form_attr,Ecf/Campaign_vue_model,Ecf/Campaign_vue_visible,Ecf/Campaign_vue_type,Ecf/Campaign_vue_default,Ecf/Campaign_view_label,Ecf/Campaign_view_name,Ecf/Campaign_view_visible,Ecf/Campaign_view_type,Ecf/Campaign_view_model
attSKKemenhumham,,,,,,,,,,,,Lampiran SK Kemenhumham ,attSKKemenhumham,,,,,Lampiran SK Kemenhumham ,attSKKemenhumham,,,attachmentupload,attSKKemenhumham,,,,,attSKKemenhumham,,,,Lampiran SK Kemenhumham ,attSKKemenhumham,,,attSKKemenhumham
attTDP,,,,,,,,,,,,Lampiran TDP,attTDP,,,,,Lampiran TDP,attTDP,,,attachmentupload,attTDP,,,,,attTDP,,,,Lampiran TDP,attTDP,,,attTDP
attNPWP,,,,,,,,,,,,Lampiran NPWP,attNPWP,,,,,Lampiran NPWP,attNPWP,,,attachmentupload,attNPWP,,,,,attNPWP,,,,Lampiran NPWP,attNPWP,,,attNPWP
noNPWP,,,,,,,,,,,,NPWP,noNPWP,,,,,NPWP,noNPWP,,,,noNPWP,,,,,noNPWP,,,,NPWP,noNPWP,,,noNPWP
slikOJK,,,,,,,,,,,,SLIK OJK Perusahaan ,slikOJK,,,,,SLIK OJK Perusahaan ,slikOJK,,,,slikOJK,,,,,slikOJK,,,,SLIK OJK Perusahaan ,slikOJK,,,slikOJK
productServices,,,,,,,,,,,,Produk/ Jasa yang ditawarkan ,productServices,,,,,Produk/ Jasa yang ditawarkan ,productServices,,,,productServices,,,,,productServices,,,,Produk/ Jasa yang ditawarkan ,productServices,,,productServices
establishedSinceYear,,,,,,,,,,,,Lama Bisnis berdiri (Tahun),establishedSinceYear,,,,,Lama Bisnis berdiri (Tahun),establishedSinceYear,,,,establishedSinceYear,,,,,establishedSinceYear,,,,Lama Bisnis berdiri (Tahun),establishedSinceYear,,,establishedSinceYear
establishedYear,,,,,,,,,,,,Lama Bisnis berdiri,establishedYear,,,,,Lama Bisnis berdiri,establishedYear,,,,establishedYear,,,,,establishedYear,,,,Lama Bisnis berdiri,establishedYear,,,establishedYear
attCompanyProfile,,,,,,,,,,,,Dokumen Company Profile ,attCompanyProfile,,,,,Dokumen Company Profile ,attCompanyProfile,,,attachmentupload,attCompanyProfile,,,,,attCompanyProfile,,,,Dokumen Company Profile ,attCompanyProfile,,,attCompanyProfile
noOfBranches,,,,,,,,,,,,Sudah berapa banyak cabang bisnis,noOfBranches,,,,,Sudah berapa banyak cabang bisnis,noOfBranches,,,,noOfBranches,,,,,noOfBranches,,,,Sudah berapa banyak cabang bisnis,noOfBranches,,,noOfBranches
productServicesDescription,,,,,,,,,,,,Deskripsi singkat tentang produk/jasa yang ditawarkan ,productServicesDescription,,,,,Deskripsi singkat tentang produk/jasa yang ditawarkan ,productServicesDescription,,,,productServicesDescription,,,,,productServicesDescription,,,,Deskripsi singkat tentang produk/jasa yang ditawarkan ,productServicesDescription,,,productServicesDescription
